# Time[fs]	ED=0.0012[aJ]	ED=0.0020[aJ]	ED=0.0028[aJ]	ED=0.0035[aJ]
1482.0	5.10892596409E-6	5.02687917429E-4	0.00870529450302	0.0263652005484
1484.0	5.15805081543E-6	5.07777770005E-4	0.00880268402849	0.0266038969877
1486.0	5.20529772847E-6	5.13212415373E-4	0.0088896815079	0.0267833141163
1488.0	5.26153164454E-6	5.179786268E-4	0.00898527754767	0.027005610251
1490.0	5.31878854833E-6	5.24044307335E-4	0.00910390461209	0.027221018817
1492.0	5.37663769864E-6	5.29637912071E-4	0.00919200105726	0.027446379325
1494.0	5.44958829818E-6	5.35920940557E-4	0.00931843663392	0.0277440097105
1496.0	5.53881428545E-6	5.4250912071E-4	0.00945686545146	0.0279793929007
1498.0	5.59373093637E-6	5.47927454196E-4	0.00958938820835	0.0282446826618
1500.0	5.63107788436E-6	5.52730232651E-4	0.0097375181499	0.0284568959766
1502.0	5.69725629605E-6	5.5793616751E-4	0.00986671294007	0.028687750509
1504.0	5.77910994849E-6	5.63206928048E-4	0.00999670350808	0.0289343470309
1506.0	5.83874337071E-6	5.70263271818E-4	0.0101113836339	0.0292068747447
1508.0	5.89892216082E-6	5.76941063755E-4	0.0102484674957	0.029472032756
1510.0	5.94906987508E-6	5.83309503007E-4	0.0104089490945	0.0297272105022
1512.0	6.01197257188E-6	5.92263742777E-4	0.0105582925608	0.0300126388602
1514.0	6.08232194066E-6	6.00430030184E-4	0.0106478412664	0.0302379288975
1516.0	6.12811357913E-6	6.07191489473E-4	0.0107759079386	0.0304703757628
1518.0	6.15782701105E-6	6.13225273736E-4	0.0108931870748	0.0307419671269
1520.0	6.20738900839E-6	6.20528221161E-4	0.0110073295422	0.0310234565041
1522.0	6.25872120261E-6	6.29341517078E-4	0.0111302141881	0.0312396588593
1524.0	6.30692398009E-6	6.37709945382E-4	0.0112467753958	0.0314321039993
1526.0	6.35153077281E-6	6.44377590181E-4	0.011378851387	0.0316307062837
1528.0	6.40128715204E-6	6.50325426215E-4	0.0115058352245	0.0318312946605
1530.0	6.4505835967E-6	6.56476568531E-4	0.0116264048229	0.0320220597313
1532.0	6.50152570368E-6	6.65086248157E-4	0.0117791165363	0.0321990108201
1534.0	6.55190448492E-6	6.71464349037E-4	0.0118964116274	0.0324073710342
